Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
,4200.0,sedan,277,2.0,Petrol,yes,1991,320
Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999,Sprinter 212
Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003,S 500
,23000.0,crossover,240,4.2,Petrol,yes,2007,Q7
Toyota,,crossover,120,2.0,Petrol,yes,2011,Rav 4
Mercedes-Benz,199999.0,crossover,0,5.5,Petrol,yes,2016,GLS 63
BMW,6100.0,sedan,438,2.0,Gas,yes,,320
Audi,,vagon,200,2.7,Diesel,yes,2006,A6
Renault,,vagon,193,1.5,Diesel,yes,2012,Megane
Volkswagen,1400.0,other,212,1.8,Gas,no,1999,Golf IV
